date,all,family,public,service,civil_sum,argri_fishing,mining,manufac,ind_sum
2015,483654816,63794044,22178572,132049197,218021813,14644964,1630853,249357185,265633002
2016,497038904,66173065,22908419,137982086,227063570,15396810,1754503,252824020,269975333
