Year,Month,AT,LT,HT,,,,
2008,10,1.46197529411765,1.01291823529412,1.98999529411765,0,0,0,0
2008,11,0.76000705882353,0.0673023529411765,1.29321411764706,0,0,0,0
2008,12,0.239890588235294,-0.387638823529412,0.832932352941177,0,0,0,0
2009,1,-0.034134705882353,-0.535435294117647,0.631578235294118,0,1.21644921568627,0.783192450980392,1.82449715686275
2009,2,0.399427058823529,-0.128312352941177,1.09511941176471,0,0,0,0
2009,3,0.650822941176471,0.233281176470588,1.52257235294118,0,0,0,0
2009,4,1.16970058823529,0.634430588235294,1.88550235294118,0,0,0,0
2009,5,1.68669764705882,1.27800117647059,2.32900235294118,0,0,0,0
2009,6,1.99365176470588,1.60329411764706,2.53560941176471,0,0,0,0
2009,7,2.15502235294118,1.90219411764706,2.54500529411765,0,0,0,0
2009,8,2.27169117647059,1.91198705882353,2.66534352941176,0,0,0,0
2009,9,1.96048764705882,1.64559294117647,2.42846470588235,0,0,0,0
2009,10,1.48599647058824,1.07049882352941,2.02256941176471,0,0,0,0
2009,11,0.745328235294118,0.231247058823529,1.54588941176471,0,0,0,0
2009,12,0.112699411764706,-0.44847,0.687309411764706,0,0,0,0
2010,1,-0.156086470588235,-0.688651764705882,0.598424705882353,0,1.21910637254902,0.686526715686274,1.83085504901961
2010,2,0.26239,-0.223861176470588,1.18152941176471,0,0,0,0
2010,3,0.53136,0.05886,1.26585117647059,0,0,0,0
2010,4,0.953915882352941,0.457664117647059,1.68527176470588,0,0,0,0
2010,5,1.62208764705882,1.00835588235294,2.29060764705882,0,0,0,0
2010,6,2.13536235294118,1.52797882352941,2.55949529411765,0,0,0,0
2010,7,2.39416058823529,2.12859588235294,2.84795529411765,0,0,0,0
2010,8,2.52919941176471,2.29033470588235,2.92187882352941,0,0,0,0
2010,9,2.09694235294118,1.41789647058824,2.57344352941176,0,0,0,0
2010,10,1.43015352941176,0.579996470588235,1.86329352941177,0,0,0,0
2010,11,0.731416470588235,0.191237058823529,1.26935411764706,0,0,0,0
2010,12,0.098374705882353,-0.510085882352941,0.913155294117647,0,0,0,0
2011,1,-0.447698235294118,-1.03302764705882,0.00612117647058823,0,1.22453215686275,0.728403431372549,1.82315318627451
2011,2,0.230991176470588,-0.296162352941176,1.00770470588235,0,0,0,0
2011,3,0.46662,0.0293611764705882,1.28777764705882,0,0,0,0
2011,4,1.08850882352941,0.542045882352941,1.81935,0,0,0,0
2011,5,1.67003764705882,1.27789,2.26324529411765,0,0,0,0
2011,6,2.09215176470588,1.71282882352941,2.65548941176471,0,0,0,0
2011,7,2.40651647058824,2.12254176470588,2.93406588235294,0,0,0,0
2011,8,2.45219117647059,2.08736823529412,2.92043941176471,0,0,0,0
2011,9,2.09726117647059,1.55708352941176,2.65083882352941,0,0,0,0
2011,10,1.41776470588235,0.726184117647059,1.94071117647059,0,0,0,0
2011,11,1.11805176470588,0.438885294117647,1.74875823529412,0,0,0,0
2011,12,0.101989411764706,-0.424157647058824,0.643336470588235,0,0,0,0
2012,1,-0.0828464705882353,-0.561223529411765,0.497804117647059,0,1.26427730392157,0.77152068627451,1.86730774509804
2012,2,-0.0374611764705882,-0.705325882352941,0.659822352941176,0,0,0,0
2012,3,0.593101176470588,0.0300511764705882,1.31542176470588,0,0,0,0
2012,4,1.26972764705882,0.724021176470588,2.13202,0,0,0,0
2012,5,1.87232705882353,1.41311,2.50256235294118,0,0,0,0
2012,6,2.25330294117647,1.87583411764706,2.76457411764706,0,0,0,0
2012,7,2.51966,2.18930294117647,3.01156882352941,0,0,0,0
2012,8,2.66097235294118,2.23854117647059,3.16058647058824,0,0,0,0
2012,9,2.06735117647059,1.60105588235294,2.53654117647059,0,0,0,0
2012,10,1.52516176470588,0.94539,2.00770823529412,0,0,0,0
2012,11,0.692422941176471,0.195066470588235,1.28786588235294,0,0,0,0
2012,12,-0.162391764705882,-0.687575294117647,0.531217647058824,0,0,0,0
2013,1,-0.149718235294118,-0.759783529411765,0.689500588235294,0,1.34181980392157,0.826442990196078,2.02658514705882
2013,2,0.07734,-0.672147647058824,0.949775882352941,0,0,0,0
2013,3,0.672274117647059,0.265891764705882,1.74229823529412,0,0,0,0
2013,4,1.07353705882353,0.567989411764706,1.90148705882353,0,0,0,0
